,A,B.s1.easy,B.s2.easy,B.s1.hard,B.s2.hard,t0,mean_v.s1.easy.true,mean_v.s2.easy.true,mean_v.s1.hard.true,mean_v.s2.hard.true,mean_v.s1.easy.false,mean_v.s2.easy.false,mean_v.s1.hard.false,mean_v.s2.hard.false
54,1.127564011,1.180217861,1.092054606,1.127427717,1.193356237,0.224947383,2.271738356,2.821257151,1.811540541,3.282039576,1.173943973,0.016691303,1.243797352,0.032924626
55,3.23004858,1.535115343,1.091050475,1.574881161,1.20226608,0.253907825,1.909136804,2.873339594,1.646170438,3.238977856,0.43856054,0.016833515,0.799162585,0.032505944
56,4.301696122,1.394973708,1.091511069,1.321153238,1.215384777,0.42052781,2.006615698,2.970557154,1.722440928,3.222136797,0.783186894,0.016591939,0.876907301,0.033545084
57,3.600021793,1.106743673,1.090956243,1.510207962,1.212198389,0.171444309,2.25171842,3.097832848,2.044866969,3.140079869,1.114929578,0.016731861,0.625604823,0.033161684
58,4.286272644,1.335094484,1.091336489,1.060412924,1.218876739,0.166820572,1.954812285,2.750181051,1.851136695,3.060980346,0.970533193,0.017271335,1.268079175,0.032913425
60,4.784346248,1.516282716,1.091449124,1.22880655,1.213005398,0.396500671,2.410708717,2.676824375,2.043769171,3.246444218,0.25204959,0.016727449,0.737188446,0.032345213
61,6.508576037,1.268764515,1.092010724,1.107395602,1.233375735,0.23375832,1.711813323,2.517989691,1.542739593,2.631669674,0.858793902,0.016590189,0.587995649,0.032068196
62,4.56380217,1.265144128,1.091232354,1.247494173,1.214518322,0.172518127,2.583600384,2.794577173,1.820501968,3.265433456,0.375181769,0.018052318,0.578260436,0.032415588
63,3.922386607,1.237989365,1.091168431,1.375252486,1.212823384,0.212025485,1.966009306,2.852281615,2.017462185,3.000297513,1.523781133,0.016614789,0.727790676,0.032720553
64,3.950502094,1.455637431,1.090961993,1.381102154,1.210545636,0.209481268,2.224970713,2.871019012,1.568024847,3.294848994,0.859798894,0.016701871,0.506833557,0.033185049
65,5.076021038,1.408791361,1.090514198,1.408452665,1.219251637,0.195329419,2.257289593,2.821102225,2.1399105,2.889228455,0.632682817,0.016934135,0.419019237,0.032658374
66,2.359377426,1.235969221,1.091488048,1.308187193,1.191575343,0.119826027,2.804184928,2.325834879,2.415447165,3.136494813,0.581828174,0.016926604,0.337116567,0.034535794
67,6.208654939,1.390503721,1.091481125,1.290369855,1.19586968,0.159612879,1.941693777,2.888250168,2.104873685,2.808907447,0.671753634,0.016615245,0.602039141,0.034156779
69,0.599986914,1.159190556,1.090739144,1.418122645,1.226083655,0.293634807,1.957954541,3.106364073,1.939351607,3.013605909,0.7779635,0.016731635,0.776025529,0.032735417
70,4.24764462,2.001012352,1.091609465,1.677115493,1.196010183,0.559978137,2.115862147,2.988049386,1.711136636,3.114401843,0.536792954,0.016575692,0.819730316,0.032872312
