,A,B.s1.easy,B.s2.easy,B.s1.hard,B.s2.hard,t0,mean_v.s1.easy.true,mean_v.s2.easy.true,mean_v.s1.hard.true,mean_v.s2.hard.true,mean_v.s1.easy.false,mean_v.s2.easy.false,mean_v.s1.hard.false,mean_v.s2.hard.false
56,4.956710859,1.417733396,1.096920118,1.391732488,1.3261814,0.444456863,2.066773863,3.144533546,2.020270134,3.418459519,0.933952803,0.013095972,0.809780006,0.020453244
57,3.374076922,0.974142213,1.097000683,1.190661674,1.231878488,0.187395294,2.130466311,3.328997647,2.114089718,3.488571138,1.068734896,0.013422275,0.675810893,0.020966018
58,3.579655144,1.074474596,1.096927941,0.916501734,1.340356105,0.219829091,1.549078074,2.785312657,1.617429246,2.997392693,1.020908916,0.013850958,1.405997798,0.020716109
60,5.210662445,1.195185262,1.096946733,1.08321141,1.321649228,0.405801309,2.502821822,2.725048666,2.293025341,3.159513084,0.365111748,0.013287818,0.848953378,0.020799428
61,6.579579809,0.933098667,1.097183226,0.711171412,1.417835592,0.343365814,1.608360933,2.473623165,1.521756305,2.628795084,0.839498432,0.012366893,0.768291151,0.020416465
62,3.991665419,1.044378245,1.096908576,0.909463602,1.292751465,0.199344616,2.43832422,2.972759959,1.755838975,3.537161638,0.551513626,0.013673362,0.488989024,0.020871873
63,4.042930708,1.183102163,1.096957439,1.351187659,1.276951636,0.205475851,1.887882386,3.040523269,2.013242826,3.118657875,1.419163796,0.013511879,0.963546014,0.020282153
64,3.755021401,1.442856084,1.096866462,1.441980917,1.31212934,0.2411737,1.836611376,3.166196328,1.678565315,3.652028605,0.98950612,0.013471409,0.470559864,0.020515722
65,5.532701669,1.28039959,1.09689932,1.416527436,1.29046458,0.21704565,2.367722387,2.856914607,2.18199419,2.910031713,0.702940994,0.013726914,0.351785433,0.020626926
66,2.419620603,1.232300911,1.096988462,1.407129067,1.18684897,0.124191352,2.958025579,2.342110926,2.706664544,2.891898739,0.399021017,0.014481132,0.292327629,0.021372437
67,6.264678586,1.128683658,1.096932978,1.125360379,1.214899068,0.189948054,1.844003376,2.994199291,1.837546225,2.916715204,0.856755746,0.012945527,0.701865984,0.021055409
69,0.611077389,1.08469098,1.096906217,1.48813848,1.290443813,0.284357134,1.728490529,3.13746579,2.160010504,3.166882417,0.825264979,0.014208137,0.996982089,0.02049941
70,4.419947677,2.091700214,1.096945683,2.241451979,1.23563168,0.579636005,2.000391303,3.209050748,1.959174989,3.159989522,0.853863319,0.013215783,1.07476233,0.020491272
